LADIES' CODE		Group	KR	k-pop,Korean,Kpop,girl group,pop,female vocalists,female vocalist,girlband,ladies code,dance,ashley,rise,polaris entertainment,sojung,eunb,zuny,soul,alternative,Voice,Retro,r&b,synthpop,Asian,female vocals,2013,under 2000 listeners,checkout,Polaris,angels,10s,2010s,Girl Groups,south korea,Korean Pop,Lorelei,south korean,2010s pop,Asian Pop,korean female vocalists,Korean girlsband,asian female vocalists,korean girl groups,CUTEGIRLS,10s pop,2w,asian girl groups,CDK,ouvir dps,2010s girl groups,10s girl groups,10s k-pop,best of 10s pop,best of 2010s pop,STRANG3R,LMA16,lma16 top10,kpop girl group
Foo Fighters		Group	US	rock,alternative rock,Grunge,alternative,seen live,hard rock,post-grunge,foo fighters,indie,american,punk,90s,indie rock,Dave Grohl,metal,Post Grunge,punk rock,USA,favorites,male vocalists,pop,00s,classic rock,emo,seattle
浜崎あゆみ	Female	Person	JP	j-pop,japanese,JPop,female vocalists,Ayumi Hamasaki,pop,J-rock,Japanese music,anime,trance,dance,ayu,japan,rock,Japanese pop,Ayumi,female vocalist,electronic,Asian,J-music,female,singer-songwriter,queen of j-pop,avex,hamasaki,Hamasaki Ayumi,jrock,queen of jpop,Ballad,eurobeat,Awesome,Classical,legend,Queen,vocal trance,cute,90s,amazing,00s,alternative,favorites,Love,techno,beautiful,avex trax,female vocals,electronica,remix,j-pop queen,<3,mainstream artists that actually experiment with different genres and succeed,Jpop Queen,sexy,diva,Favorite
Childish Gambino	Male	Person	US	Hip-Hop,rap,seen live,indie,underground hip-hop,hip hop,american,alternative hip-hop,rnb,underground hip hop,soul,alternative,funk,alternative hip hop,donald glover,childish gambino,experimental,alternative rap,electronic,pop,pop rap,swag,hipster rap,psychedelic,indie rap,USA,Dope,comedy,nerdcore,underground,hipster,hipster hop,gambino,dance,underground rap,male vocalists,experimental hip-hop,seen live x2,west coast hip-hop,derrick comedy
Dance Gavin Dance		Group	US	post-hardcore,experimental,screamo,hardcore,emocore,seen live,Progressive,post hardcore,emo,rock,alternative,Progressive rock,american,progressive post-hardcore,indie,metalcore,mathcore,math rock,alternative rock,Experimental Rock,skramz,dance gavin dance,christian,Awesome,not screamo,California,funk,Rise Records,USA,rnbcore
Closure in Moscow		Group		Progressive rock,post-hardcore,experimental,Progressive,australian,seen live,alternative rock,rock,emocore,alternative,emo,post hardcore,progressive post-hardcore,australia,Experimental Rock,indie,psychedelic,melbourne,indie rock,Avant-Garde,art rock,progressive hardcore,math rock,hardcore,ambient,screamo,Psychedelic Rock,soul,Love,Awesome,prog rock,Aussie,experimental hardcore,not emo,avant rock,asciiecho,indie prog rock
Daughter		Group	GB	indie,indie folk,acoustic,female vocalists,british,seen live,folk,indie pop,dream pop,singer-songwriter,alternative,indie rock,ambient,pop,english,LastfmSC,UK,rock,atmospheric,Mellow,Daughter,alternative rock,post-rock,ethereal,folk rock,female vocalist,london,touhou,art pop,experimental,chamber pop,Dreamy,melancholy,chillout,england,4ad
The Mars Volta		Group	US	Progressive rock,experimental,rock,alternative,seen live,Progressive,alternative rock,indie,psychedelic,Experimental Rock,Psychedelic Rock,indie rock,art rock,post-hardcore,american,The Mars Volta,latin,jazz,prog rock,Progressive metal,prog,Neo-Psychedelia,post-rock,metal,Avant-Garde,punk,jazz fusion,emo,ambient,math rock,hard rock,Fusion,electronic,00s,USA,Awesome,hardcore,post-punk
2NE1		Group	KR	k-pop,Korean,dance,pop,yg family,female vocalists,Kpop,2NE1,Hip-Hop,girl group,electronic,girlband,Asian,cl,YG Entertainment,Minzy,japanese,Brutal Death Metal,Korea,brutal deathcore,dara,hip hop,rap,south korea,electropop,k-music,goregrind,YG,j-pop,deathgrind,park bom,visual kei,Girl Groups,moshcore,female,sexy,Awesome,Melodic Death Metal,rnb,grindcore,r&b,Korean Pop,asian chicks i would jizz over to go see them play live,dance-pop,female vocals,deathcore,queens,group,bom,more awesome than you,K-hip hop,better than SNSD,Altar of the Metal Gods,urban,Altar of the Metal Gods Sludge,korea makes rap listenable,Altar of the Metal Gods Neo-Classical Metal,Altar of the Metal Gods Death Metal,Altar of the Metal Gods Thrash Metal,Altar of the Metal Gods Folk Metal,Sandara Park,female version of Big Bang,Altar of the Metal Gods NWOBHM,Altar of the Metal Gods Doom Metal,Altar of the Metal Gods Pagan Metal,Altar of the Metal Gods Epic Metal,Altar of the Metal Gods Hardcore,seen live,thrash metal,Fierce,female vocalist,00s,<3,asia,slam death metal,really fucking good,asian music,Asian Pop,koreancore
Gwen Stefani	Female	Person		pop,female vocalists,dance,rock,alternative,gwen stefani,Hip-Hop,female,american,rnb,seen live,electronic,female vocalist,singer-songwriter,00s,pop rock,No Doubt,sexy,Gwen,indie,hip hop,electropop,alternative rock,ska,electronica,cool,Pop-Rock,USA,new wave,punk,favorites,guilty pleasure
