Song	Artist	Lyrics
Movin' on without you	浜崎あゆみ	"Nothing's gonna stop me\Only you can stop me\In the dead of night at 3am\My PHS is by my pillow\I'm waiting for it to ring\Like an idiot, right?\The clock bell sounds\Even if I found\Glass slippers like in a fairy-tale\It'd be no good\If caring for me is a bother\Then tell me quickly\Because even I\Don't have that much free time\I'm movin' on without you\I can't pretend\Like I don't know\About your stupid alibis anymore\Though it's not all\Memories like those for us\I didn't expect it to be so painful\But why is it?\I wonder if it's still too soon\To act like a good girl\Nothing's gonna stop me\Only you can stop me\The lines I've prepared to say\Are perfect\But you still haven't called\It's 4 in the morning\On the too quiet nights\My thoughts run wild\I understand\But I'm not getting enough sleep\I've already forgotten\Those promises\I'll return the ring\So give me back my heart\I have to go without you\It's hard, so\I'll break up with you\Acting like a good girl\Isn't easy\I didn't expect it to be so painful\But why is it?\I wonder if it's still too soon\To act like a good girl\Nothing's gonna stop me\Only you can stop me\It's all right to be confused\I want you to love me\And even though I don't say that\I want you to understand\I didn't expect it to be so painful\But why is it?\I wonder if it's still too soon\To act like a good girl\Nothing's gonna stop me\Only you can stop me"
Cool	Gwen Stefani	"It's hard to remember how it felt before\Now I found the love of my life\Passes things, get more comfortable\Everything is going right\\And after all the obstacles\It's good to see you now with someone else\And it's such a miracle that you and me are still good friends\After all that we've been through\I know we're cool\I know we're cool\\We used to think it was impossible\Now you call me by my new last name\Memories seem like so long ago\Time always kills the pain\\Remember Harbor Boulevard\The dreaming days where the mess was made\Look how all the kids have grown\We have changed but we're still the same\After all that we've been through\I know we're cool\I know we're cool\Yeah, I know we're cool\\And I'll be happy for you\If you can be happy for me\Circles and triangles\And now we're hanging out with your new girlfriend\So far from where we've been\I know we're cool\I know we're cool\\Cool, yeah I know we're cool\I know we're cool\Cool, yeah I know we're cool"
Lil Watan	Mashrou' Leila	"Others tamed hurricanes to control fate\and we fly away from a breeze\and if you dare ask a question about the deterioration of conditions\they shut you up with some slogans about all the conspiracies\the flock calls you a traitor whenever you want to alter your home\they despaired you so you sell your freedom when home is lost\you need to cheer up, come dance with me a bit\why are you frowning, come dance with me a bit\ \They taught you the anthem because loyalty is good for home\they drugged you in the vein and taught you the anther for home\you need to cheer up, come dance with me a bit\why are you frowning, come dance with me a bit"
Goodbye Happiness	宇多田ヒカル	"After the sweet candy's disappeared\there was a lonely boy\and a cloudless summer day\Arms and legs sunburnt, a white dress\I don't care if it gets dirtied\This is an unconscious paradise\At the end of the dream, there's no waiting\One day I learned your name\So goodbye loneliness\Humming a love song\I'm laughing as I reflect in your eyes\So goodbye happiness\I can no longer go back to that time\when I played knowing nothing\But that's fine. Love me\You mustn't think too much and despair\This transient world is child's play\When people become alone\they realize the meaning of love\Departed days\Let me hear a gentle song\Do you still remember the feelings of when we met?\So goodbye innocence\I can no longer go back to that time\when I played knowing nothing\It's your fault. Kiss me\Oh, all things turn and turn\Oh, darling, darling\I won't fall for someone else\Only you\It'd be nice if we could live the way we are\But at important moments, the other me gets in the way\So goodbye happiness\I want to go back to that time\when I played knowing nothing, baby\And then once again kiss me"
Josephine	Yeng Constantino	""
This Is How I Disappear	My Chemical Romance	"Go!\\To un-explain the unforgivable\Drain all the blood and give the kids a show\By streetlight this dark night\A séance down below\There's things that I have done\You never should ever know\\And without you is how I disappear\And live my life alone forever now\And without you is how I disappear\And live my life alone forever now\\Who walks among the famous living dead\Drowns all the boys and girls inside your bed\And if you could talk to me\Tell me if it's so\That all the good girls go to heaven\Well, heaven knows\\That without you is how I disappear\And live my life alone forever now\And without you is how I disappear\And live my life alone forever now\\Can you hear me cry out to you?\Words I thought I'd choke on, figure out\I'm really not so with you anymore\I'm just a ghost\So I can't hurt you anymore\So I can't hurt you anymore\\And now, you wanna see how far down I can sink?\Let me go, fuck!\So you can\Well, now, so you can\I'm so far away from you\Well, now, so you can\\And without you is how I disappear\And without you is how I disappear\Forever, forever now"
Red Sky	Thrice	"I know what lies beneath\I've seen the flash of teeth\Conspiring with the reef\To sink our ship\The wind's a cheating wife\Her tongue a thirsty knife\And she could take your life\With one good kiss\\Can you see the sky turn red\As morning's light breaks over me?\Know tonight we'll make our bed\At the bottom of the sea\\I know the ocean speaks\I've heard her call to me\And smiling in my dreams\She whispers this:\("The stars retreat behind their veil\The clouds are clinging to your sail\The storm is coming, can you see?")\\Can you see the sky turn red\As morning's light breaks over me?\Know tonight we'll make our bed\At the bottom of the sea\\Look and see the sky turn red\Like blood it covers over me\And soon the sea shall give up her dead\We'll raise an empire from the bottom of the sea"
마지막 인사	Bigbang	"Yes! Big Bang is back!\Most definitely, incredible! Hey move!\B to the I to the G Bang Bang\B to the I to the G Bang Bang\B to the I to the G Bang Bang\About love\I don't wanna be without you girl\Got me slowly dying\Where did we go wrong my girl\Why can't we keep on trying\I don't wanna be without you girl\I gave my heart to you\Going outta my mind, cause I love you, I need you girl\Baby baby baby\You know we go back for so long\Baby baby baby\Used to having you here in my arms\Baby baby baby\You know what we had was oh so strong\Just say you'll still be mine\Cause I love you, I need you girl\My homey lover free together yeah we had it all\Could never see you, and you just left forever deep with love\We had a good run\Do everything so happily, so free\And nothing anyone could ever had done\Yeah yeah yeah\Baby you're my everything, I'll do anything for you\Never knew another girl like quite like you\And I wanna excite you\Like, like giving you what you wanna do girl\If there's anyone, I'll straight run 'em\Unafraid of all, GD stun 'em\What up, what up, can't put up, put up\When you're telling me you're gonna need time alone\I don't wanna be without you girl\Got me slowly dying\Where did we go wrong my girl\Why can't we keep on trying\I don't wanna be without you girl\I gave my heart to you\Going outta my mind, cause I love you, I need you girl\Baby baby baby\You know we go back for so long\Baby baby baby\Used to having you here in my arms\Baby baby baby\You know what we had was oh so strong\Just say you'll still be mine\Cause I love you, I need you girl\Tried to call you a thousand times up on the phone\I called you on the phone\Never did you answer once, you know that's wrong\You know that's really wrong yeah\Can we doubt this, I don't wanna know why did you leave me hanging\oh so damn right\Don't you see me praying, don't leave me alone\About love\Yo, it's the rerun, lovers from the front no doubt\Fosho, we got each other's back, that's fact yo\Never had a big problem before\Baby doll, one look at you was all that I saw\assuming we let our love hang all out\With everything we worked out\But little did I know\That you were just over there\I don't wanna be without you girl\Got me slowly dying\Where did we go wrong my girl\Why can't we keep on trying\I don't wanna be without you girl\I gave my heart to you\Going outta my mind, cause I love you, I need you girl\Baby baby baby\You know we go back for so long\Baby baby baby\Used to having you here in my arms\Baby baby baby\You know what we had was oh so strong\Just say you'll still be mine\Cause I love you, I need you girl\How could I've known\Cause all in my eyes\It was all good\Had everything we ever wanted\Now that you're showing your\True colors baby, now I know, you know\Oh, that we weren't meant to be no, no\I don't wanna be without you girl\Got me slowly dying\hey, hey\Where did we go wrong my girl\Why can't we keep on trying\I don't wanna be without you girl\I gave my heart to you\I wanna be your man\Going outta my mind, cause I love you, I need you girl\Baby baby baby\You know we go back for so long\Baby baby baby\Used to having you here in my arms\Baby baby baby\You know what we had was oh so strong\Just say you'll still be mine\Cause I love you, I need you girl\B to the I to the G Bang Bang\B to the I to the G Bang Bang\B to the I to the G Bang Bang\Come on come on come on come on\B to the I to the G Bang Bang\B to the I to the G Bang Bang\Just say you'll still be mine\Cause I love you, I need you girl\About love"
Bored Rigid	COMEBACK MY DAUGHTERS	"the long rain is gone and summer has come i start to remember and winter comes again soon we spend the time separately this year no one knows that we never get back when i was a teenager i started a band and skating what was the difference between you and me? when i was a teenager all the things were easy to start and come to an end what was the difference between you and me? when i was a teenager i was ashamed of being ignorant what was the difference between you and me?"
Genei no Kusari	Screw	"I'm drowning in the deep darkness\Though the night damages me again to my heart\I'm getting buried in a lie that's mocking reality\Though the night kills me again to my heart\My wishes, not learning any lessons from just living\Even if I escape, I don't think I can get rid of it\The bonds control my memories\Why can't I take this life,\Which I should be able to get rid of in one second?\The blood of you, tightly fastened,\Violates me constantly, again and again\In the time of February when I felt a touch of spring\In a chilly night in which the pale plum trees are blooming\I'm wishing for myself\Criticising, so that I won't trust you with my body,\Which is dirty and unable to love\I want to destroy my heart that can't forget you,\I can't destroy it\- karma -\The blood of you, tightly fastened,\Violates me constantly, again and again\In the time of February when I felt a touch of spring\In a chilly night in which the pale plum trees are blooming\Softly, inside of your gentle, warm arms\Erase me\"
