Song	Artist	Lyrics
Movin' on without you	浜崎あゆみ	
Cool	Gwen Stefani	
Lil Watan	Mashrou' Leila	
Goodbye Happiness	宇多田ヒカル	
Josephine	Yeng Constantino	
This Is How I Disappear	My Chemical Romance	
Red Sky	Thrice	
마지막 인사	Bigbang	
Bored Rigid	COMEBACK MY DAUGHTERS	
Genei no Kusari	Screw	
Blurry Eyes	L'Arc~en~Ciel	
MUTE	ESTi x TAK feat. Sanch	
相愛後動物感傷	張惠妹	
E Is For Estranged	Owen Pallett	
Alone in the dark	COMEBACK MY DAUGHTERS	
Emily	Joanna Newsom	
桜流し	宇多田ヒカル	
TRAP	Meg	
House of Balloons / Glass Table Girls	The Weeknd	
When You Were Young	The Killers	
The Earth Will Shake	Thrice	
Spending all my time	Perfume	
Raasuk	Mashrou' Leila	
Langis at Tubig	Juris	
Chiquitita	Laleh	
Sonic - Star Light Zone	Smooth McGroove	
Baptism	Crystal Castles	
Ala Babu	Mashrou' Leila	
Something	JMSN	
For Miles	Thrice	
My Silver Lining	First Aid Kit	
Chiquitita	ABBA	
Atlantic	Thrice	
Heads Will Roll	Yeah Yeah Yeahs	
Primadonna	Marina & the Diamonds	
You Only Live Once	The Strokes	
The Island: You'll Not Feel the Drowning (ver. horizon)	Horizon	
格雷的畫像	韋禮安	
Drag Queen	The Strokes	
Bint Elkhandaq	Mashrou' Leila	
主演の女	椎名林檎	
星から来たあなた	ユンナ	
Citizen Erased	Muse	
STUPiG	Bis	
We Flood The Night	FEMM	
Icarus	Mashrou' Leila	
I'm Your Man (Cover)	Zessei Bijin!	
Human Sadness	Julian Casablancas + The Voidz	
Maghawir	Mashrou' Leila	
ain't afraid to die	DIR EN GREY	
떠나지마	딕펑스	
Shine	Casey Lee Williams	
Caffeine (feat. Lamar Hall)	Casey Lee Williams	
Time to Say Goodbye	Casey Lee Williams	
Unrequited Love	Capsule	
The Heretic	The Sound of Animals Fighting	
Between The End And Where We Lie	Thrice	
Ode To The Sun	dredg	
No Transitory	Alexisonfire	
Welcome Home	Coheed and Cambria	
This Could Be Anywhere In The World	Alexisonfire	
DiE	Bis	
青春の瞬き	椎名林檎	
All My Stars Aligned	St. Vincent	
Only Skin	Joanna Newsom	
Ghosts	Ibeyi	
Gold (feat. Casey Lee Williams)	Jeff Williams	
渦中の男	椎名林檎	
Vanitas	DIR EN GREY	
I Can Change	Brandon Flowers	
DEATH	::M∆DE::IN::HEIGHTS::	
Dare I Care	Julian Casablancas + The Voidz	
Trying Your Luck	The Strokes	
流転の塔	DIR EN GREY	
I'm Feeling You	Capsule	
Again (Cover)	CollaboDaisakusen	
Addicted To You [UP-IN-HEAVEN MIX]	宇多田ヒカル	
Stay Gold	宇多田ヒカル	
Hurry Xmas	L'Arc~en~Ciel	
COLORS	宇多田ヒカル	
Silent Eve	Sadie	
I was Wrong	Capsule	
LOST HEAVEN	L'Arc~en~Ciel	
Nemuri Ni Yosete	L'Arc~en~Ciel	
Of Dust And Nations	Thrice	
Herzan	Soap Kills	
I Can't Smile At Everyone	Ken Yokoyama	
Konayuki	レミオロメン	
M.F.P(Malicious Female Pigs)	Sadie	
Psycho Culture	Sadie	
MAD-ROID	Sadie	
windress	Versailles	
The Umbrella of Glass	Versailles	
Catharsis	Versailles	
星ノ雨	ViViD	
Bright red garden	ViViD	
きらきら武士 feat. Deyonna	レキシ	
Poster of a Girl	Metric	
Alcohol Bottle	haha	
Meisai	Sadie	
Icky Thump	The White Stripes	
Niji	L'Arc~en~Ciel	
Promenade	Közi	
DAHLIA	X Japan	
Seven Nation Army	The White Stripes	
激しさと、この胸の中で絡み付いた灼熱の闇	DIR EN GREY	
Apple with Ringo Sheena	Towa Tei	
год безделий	Buhar Jerreau	
RUIN AND DREAD	Screw	
DYSPNEA	Screw	
WORLD OF FANTASY	Capsule	
我、闇とて･･･	DIR EN GREY	
Some Die Young	Laleh	
Stay with You	Capsule	
JUMPER	Capsule	
Siguro	Yeng Constantino	
Sonic - Marble Zone	Smooth McGroove	
Tell Me	Hide	
JEALOUS	DIR EN GREY	
I'm Just Your Problem (Cover)	Elena Íviel Berciano feat. Nicole Vaquerano	
ROCKSTAR	Meg	
Bust Your Knee Caps	Pomplamoose	
Fly	Hilary Duff	
Time goes on	L'Arc~en~Ciel	
3cmディスタンス	Saoriiiii	
cosmic world	Alice Nine	
メギツネ	BABYMETAL	
小夜子 (Cover)	Antares	
Boiled Frogs	Alexisonfire	
Euterpe (Cover)	Horizon	
Derse Dreamers (Cover)	Horizon	
眠り姫 (Cover)	Koko	
Soft as Chalk	Joanna Newsom	
Taekwondo (Produced by GRAY)	Jay Park	
Jesus Christ	Hyde	
Wannabe	FEMM	
Different Sense	DIR EN GREY	
Key Entity Extraction II: Holly Wood the Cracked	Coheed and Cambria	
Hello	Capsule	
Zoetrope (Cover)	CollaboDaisakusen	
Key Entity Extraction IV: Evagria The Faithful	Coheed and Cambria	
Flavor Of Life	ハナレグミ	
盛夏光年	五月天	
Stand And Feel Your Worth	Thrice	
Wag Na Wag Mong Sasabihin	Kitchie Nadal	
498	Buhar Jerreau	
Pagan Poetry	Björk	
The Ghost of You	My Chemical Romance	
AGITATED SCREAMS OF MAGGOTS	DIR EN GREY	
真実と幻想と	L'Arc~en~Ciel	
Maboroshi	NoGoD	
記憶と空	Malice Mizer	
RED SOIL	DIR EN GREY	
Love Is War (Feat.Outsider)	길미	
Flying a Kite	Joanna Newsom	
Black Escaflowne	菅野よう子	
Nocturnal Romance	Moi dix Mois	
Always	Neverending White Lights	
Wajih	Mashrou' Leila	
DOZING GREEN	DIR EN GREY	
Big Time Sensuality	Björk	
Eat You Up	Boa	
NEW DAYS DAWN	Hyde	
MY HEART DRAWS A DREAM (hydeless)	L'Arc~en~Ciel	
Mother (Cover)	Horizon	
Spirals	L'Arc~en~Ciel	
恋愛サーキュレーション (English Cover)	Lizz	
従属ふりったー (Cover)	Antares	
Fools	The Ransom Collective	
Swim Good	Frank Ocean	
It's Oh So Quiet	Björk	
I Believe (feat. Kat McDowell)	DAISHI DANCE	
Like Moths To Flame	Thrice	
暁	DIR EN GREY	
1582	KAT-TUN	
Gossip (English Cover)	Ashe	
Blame It On The Girls	Mika	
Steady, as She Goes	The Raconteurs	
Thinkin Bout You	Frank Ocean	
Feel Good Inc.	Gorillaz	
Keep Tryin'	宇多田ヒカル	
Gravemakers & Gunslingers	Coheed and Cambria	
DOZING GREEN (Japanese Lyrics Re-mastering)	DIR EN GREY	
GARDEN	DIR EN GREY	
violent parade	acid android	
INCONVENIENT IDEAL	DIR EN GREY	
Crimson Star	Közi	
Nocturne	Közi	
Torn	Natalie Imbruglia	
Amon	DIR EN GREY	
命のユースティティア (Cover)	Tokyo Magnitude 420	
Seventh Heaven	L'Arc~en~Ciel	
Key Entity Extraction III: Vic the Butcher	Coheed and Cambria	
How Insensitive	Astrud Gilberto	
ISM	Közi	
You Heartbreaker	Dojo Workhorse	
SECRET LETTERS	Hyde	
OASIS	Hyde	
Lady Luck	Jamie Woon	
Eyes on Me	王菲	
Valerie	Amy Winehouse	
あなた	Acid Black Cherry	
I Have a Dream	ABBA	
The Winner Takes It All	ABBA	
HATE	Charisma.com	
Sunadokei	L'Arc~en~Ciel	
Sunrise	Hanaboy	
Koishikute	UVERworld	
S.T.F.U.	ギルガメッシュ	
FREELY TOMORROW	初音ミク	
너 아님 안돼	2NE1	
Jóga	Björk	
Oceania	Björk	
Obsessed	Boa	
Good Day (Japanese Cover)	Zessei Bijin!	
Butterfly's Sleep	L'Arc~en~Ciel	
COLORS	Flow	
Sarabande (Cover)	Horizon	
No World For Tomorrow	Coheed and Cambria	
ZEROTICA	XA-VAT	
EXISTENCE	L'Arc~en~Ciel	
Killing Me Softly (Cover)	The Jackson 5	
Bakit?	Cueshé	
瞳の住人	L'Arc~en~Ciel	
DAYS	Flow	
ANGEL'S TALE	Hyde	
flower	L'Arc~en~Ciel	
Hitomi no Junnin	L'Arc~en~Ciel	
Be Strong	Yazumi Kana	
DARE	Gorillaz	
Glass Skin	DIR EN GREY	
WAVE (Cover)	Himistuni	
Merry Christmas Mr. Lawrence (1996 Live)	坂本龍一	
Shiroi Yuki no Princess Wa ft. Akatsuki Taiyou& ZODIAC	Zessei Bijin!	
Link -KISS Mix-	L'Arc~en~Ciel	
The Hound (of Blood and Rank)	Coheed and Cambria	
Beast of Blood	Malice Mizer	
